Year,Quarter,Type,Entity_Name,Registered_Users
2024,3,District,Bengaluru Urban,17566351
2024,3,District,Pune,12392676
2024,3,District,Thane,7103828
2024,3,District,Mumbai Suburban,6688601
2024,3,District,Rangareddy,5769438
2024,3,District,Hyderabad,5757304
2024,3,District,Ahmedabad,5580316
2024,3,District,Chennai,5387490
2024,3,District,Jaipur,5219354
2024,3,District,Surat,4957655
2024,3,Pincode,201301,899384
2024,3,Pincode,421302,844375
2024,3,Pincode,110059,808649
2024,3,Pincode,500072,733364
2024,3,Pincode,452001,686231
2024,3,Pincode,410501,663831
2024,3,Pincode,121004,646607
2024,3,Pincode,201009,646266
2024,3,Pincode,560068,645173
2024,3,Pincode,110092,639422
2024,4,State,Maharashtra,71807805
2024,4,State,Uttar Pradesh,70474113
2024,4,State,Karnataka,45917653
2024,4,State,Rajasthan,36828375
2024,4,State,West Bengal,34750181
2024,4,State,Tamil Nadu,33966610
2024,4,State,Bihar,33345285
2024,4,State,Madhya Pradesh,32876660
2024,4,State,Telangana,31726856
2024,4,State,Andhra Pradesh,29984431
2024,4,District,Bengaluru Urban,18101416
2024,4,District,Pune,12734314
2024,4,District,Thane,7300941
2024,4,District,Mumbai Suburban,6875379
2024,4,District,Rangareddy,5988320
2024,4,District,Hyderabad,5916910
2024,4,District,Ahmedabad,5702922
2024,4,District,Chennai,5541760
2024,4,District,Jaipur,5371681
2024,4,District,North Twenty Four Parganas,5085095
2024,4,Pincode,201301,964283
2024,4,Pincode,421302,871910
2024,4,Pincode,110059,826819
2024,4,Pincode,500072,755978
2024,4,Pincode,452001,709324
2024,4,Pincode,410501,683435
2024,4,Pincode,560068,663903
2024,4,Pincode,121004,661818
2024,4,Pincode,201009,660474
2024,4,Pincode,110092,654020
